Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2340309,25-Jun-22,North Carolina,Charlotte,7100 block of Wallace Rd,1,1,N/A
2339505,23-Jun-22,Michigan,Muskegon,2000 block of Dowd St,1,0,N/A
2337547,22-Jun-22,Louisiana,New Orleans,8600 block of Apple St,1,0,N/A
2335187,19-Jun-22,District of Columbia,Washington,4400 block of 3rd St SE,1,0,N/A
2338717,19-Jun-22,New Jersey,Freehold,20 block of McDermott St,1,0,N/A
2332525,15-Jun-22,Texas,Dallas,3000 block of Kiestridge Dr,1,0,N/A
2332922,15-Jun-22,Mississippi,Diberville,11059 Lamey Bridge Rd,1,0,N/A
2330527,14-Jun-22,South Carolina,Greer,Werninger Ct,1,0,N/A
2330189,13-Jun-22,Wisconsin,Milwaukee,8120 W Villard Ave,1,0,N/A
2330532,12-Jun-22,Tennessee,Chattanooga,Citico Ave,1,1,N/A
2330426,12-Jun-22,Colorado,Durango,Highland Hill Dr,1,0,N/A
2328249,11-Jun-22,Florida,Pembroke Pines,SW 182nd Way,1,0,N/A
2326674,10-Jun-22,Texas,Houston,14335 Ella Blvd,2,0,N/A
2325901,09-Jun-22,Ohio,Cincinnati (Mount Washington),1722 Beacon St,1,0,N/A
2325298,08-Jun-22,Texas,Beaumont,400 block of E Lucas Dr,1,0,N/A
2325947,08-Jun-22,Ohio,Dayton,700 block of Goodlow Ave,1,0,N/A
2324518,07-Jun-22,Texas,Houston,6000 block of Skyline Dr,1,1,N/A
2322582,06-Jun-22,Ohio,Cleveland,1100 block of E 77th St,1,0,N/A
2326067,05-Jun-22,North Carolina,Salisbury,100 block of Clancy St,1,0,N/A
2322940,05-Jun-22,South Carolina,Mount Croghan,Airport Rd,1,0,N/A
2321188,04-Jun-22,Michigan,Detroit,20290 block of Goulburn Ave,1,0,N/A
2321704,04-Jun-22,Louisiana,Des Allemands,WPA Rd,1,0,N/A
2318085,31-May-22,Ohio,Cleveland,3700 block of E 151st St,1,0,N/A
2330073,31-May-22,Texas,Laredo (El Cenizo),400 block of Holguin,1,0,N/A
2315205,28-May-22,Michigan,Grand Rapids,800 block of Alpine Ave NW,1,0,N/A
2322579,26-May-22,Florida,Orlando,Tobie Ct,1,0,N/A
2312692,26-May-22,Indiana,Indianapolis,3200 block of Laurel St,1,0,N/A
2313469,26-May-22,Washington,Spanaway,17410 Pacific Ave S,1,0,N/A
2313112,25-May-22,West Virginia,Huntington,1600 block of Charleston Ave,1,0,N/A
2312649,25-May-22,Oklahoma,Enid,600 block of W Cherokee Ave,1,0,N/A
2314313,23-May-22,Georgia,Moultrie,600 Block of Third St SW,1,0,N/A
2310152,22-May-22,Arizona,Phoenix,N 71st Ave and Thomas Rd,1,0,N/A
2308304,21-May-22,Colorado,Colorado Springs,3040 Mallard Dr,1,0,N/A
2308610,21-May-22,Utah,Salt Lake City (West Valley City),3100 S 4800 W,1,0,N/A
2307608,20-May-22,North Carolina,Roanoke Rapids,100 block of Delta Dr,1,0,N/A
2307218,20-May-22,Arizona,Tempe,Mill Ave and Apache Blvd,1,0,N/A
2305354,18-May-22,Ohio,Bucyrus,627 W Mansfield St,1,0,N/A
2305610,18-May-22,Louisiana,Baton Rouge,St. Gerard Ave,1,0,N/A
2309708,17-May-22,Arizona,Phoenix,E Moreland St and N 11th St,1,0,N/A
2305630,17-May-22,Delaware,Georgetown,22963 Deep Branch Rd,1,0,N/A
