Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2340309,25-Jun-22,North Carolina,Charlotte,7100 block of Wallace Rd,1,1,N/A
2340297,25-Jun-22,New York,Brooklyn,690 Quincy St,0,4,N/A
2339956,25-Jun-22,Texas,San Antonio,4800 block of Ray Bon Dr,0,2,N/A
2336469,21-Jun-22,Virginia,Portsmouth,10 block of Merrimac Dr,0,1,N/A
2336413,21-Jun-22,Louisiana,Baker,2300 block of Ray Weiland Dr,0,1,N/A
2336313,21-Jun-22,Connecticut,Waterbury,99 Pinecrest Dr,0,1,N/A
2337864,21-Jun-22,Kansas,Wichita,3300 block of S Fern St,0,1,N/A
2337885,21-Jun-22,Washington,Kirkland,11700 block of NE 150th Pl,0,3,N/A
2338272,20-Jun-22,Indiana,Gary,6200 block of Melton Rd,0,3,N/A
2336102,20-Jun-22,Delaware,Wilmington,300 block of S Jackson St,0,3,N/A
2335126,20-Jun-22,Illinois,Chicago,8600 block of S Halsted St,0,1,N/A
2336374,19-Jun-22,Illinois,East Saint Louis,N 15th St and E Broadway,1,1,N/A
2334635,19-Jun-22,Ohio,Cincinnati,7076 Glenmeadow Ln,0,1,N/A
2333836,17-Jun-22,Georgia,Brunswick,2500 Block of Ellis St,0,1,N/A
2332647,16-Jun-22,Illinois,Chicago,4000 block of W 26th St,0,1,N/A
2332645,16-Jun-22,North Carolina,Goldsboro,900 block of Hugh St,0,1,N/A
2333379,16-Jun-22,South Carolina,Greenville,300 Furman Hall Rd,0,1,N/A
2332025,14-Jun-22,South Carolina,Port Royal,Grober Hill Rd,0,1,N/A
2329019,13-Jun-22,Missouri,Saint Louis,3500 block of S Spring Ave,0,2,N/A
2329997,13-Jun-22,Mississippi,Lauderdale,7751 J O Thomas Rd,0,2,N/A
2328881,12-Jun-22,Kentucky,Lexington,1800 block of Balfour Dr,0,1,N/A
2328876,12-Jun-22,Kentucky,Louisville,1600 block of Moore Ct,0,2,N/A
2327991,11-Jun-22,Kentucky,Louisville,1101 River Rd,0,6,N/A
2327624,10-Jun-22,Texas,Amarillo,SE 10th St and S Cleveland St,0,1,N/A
2327779,10-Jun-22,Colorado,Windsor,1000 block of Indian Trail Dr,0,1,N/A
2327950,10-Jun-22,Missouri,Saint Louis,Pleasant St and Lee Ave,0,2,N/A
2325943,09-Jun-22,Michigan,Lansing,5500 block of Kaynorth Rd,0,1,N/A
2326666,09-Jun-22,Tennessee,Mount Juliet,Gilley Rd and Benders Ferry Rd,0,1,N/A
2326351,09-Jun-22,Arizona,Phoenix,7th Ave and Alta Vista Rd,0,1,N/A
2325106,08-Jun-22,California,Compton,1033 E Poppy Dr,0,1,N/A
2324592,07-Jun-22,Georgia,Atlanta,3740 Largo Ln SW,0,1,N/A
2325199,07-Jun-22,Oklahoma,Oklahoma City,5454 N Meridian Ave,0,2,N/A
2322276,06-Jun-22,Illinois,Chicago,9800 block of S Throop St,0,1,N/A
2322050,05-Jun-22,Minnesota,Minneapolis,23rd Ave N and N Sheridan Ave,0,1,N/A
2322888,05-Jun-22,Georgia,Columbus,2000 Cusseta Rd,0,1,N/A
2322946,05-Jun-22,South Carolina,Marion,Godbold St and Bluff Rd,1,1,N/A
2322175,04-Jun-22,Tennessee,Chattanooga,1300 block of Fort St,0,3,N/A
2321145,04-Jun-22,Kentucky,Louisville,9300 block of National Turnpike,0,1,N/A
2320914,04-Jun-22,Illinois,Chicago,9109 S Paxton Ave,0,1,N/A
2320331,03-Jun-22,Kentucky,Oak Grove,1900 block of Timberline Cir,0,1,N/A
2318994,01-Jun-22,Texas,Houston,1501 Big Bend Dr,0,1,N/A
2318076,01-Jun-22,Ohio,Cleveland,7310 Carson Ave,0,2,N/A
2317927,01-Jun-22,Michigan,Flint,1000 block of E Foss Ave,1,1,N/A
2320280,31-May-22,North Carolina,Lexington,160 Lowes Blvd,0,1,N/A
2316666,30-May-22,South Carolina,Columbia,100 Willow Oak Dr,0,1,N/A
2317246,30-May-22,Georgia,Savannah,Sherman Ave and Dillon Ave,0,2,N/A
2315150,29-May-22,Oklahoma,Taft,104 Elm St,1,7,N/A
2315324,29-May-22,Ohio,Dayton,2900 block of Millicent Ave,0,1,N/A
2315694,28-May-22,Michigan,Detroit,19600 block of Revere St,0,1,N/A
2314856,28-May-22,Pennsylvania,Philadelphia,4200 block of Fairmount Ave,0,1,N/A
2317278,28-May-22,New Jersey,Irvington,176 Eastern Pkwy,0,2,N/A
2316851,26-May-22,Mississippi,Jackson,Madison Edward and Beasley Rd,0,1,N/A
2313351,26-May-22,Louisiana,Baton Rouge,2700 block of Erie St,0,1,N/A
2315702,26-May-22,Michigan,Ecorse,266 Hyacinthe St,0,1,N/A
2310130,24-May-22,Alabama,Birmingham,2000 block of Ave V,0,2,N/A
2311001,24-May-22,Wisconsin,Milwaukee,2500 block of N 12th St,0,1,N/A
2310278,24-May-22,Texas,Uvalde,715 Old Carrizo Rd,22,17,N/A
2311368,24-May-22,Indiana,Fort Wayne,2900 block of Reed St,0,1,N/A
2312524,24-May-22,Indiana,Indianapolis,3900 block of N Illinois St,0,1,N/A
2311139,24-May-22,Virginia,Woodbridge,15300 block of Gatehouse Terrace,0,1,N/A
2308591,22-May-22,Maryland,Baltimore,500 block of N Glover St,0,2,N/A
2314050,20-May-22,Michigan,River Rouge,Polk Ave and Eaton St,0,1,N/A
2307631,20-May-22,Florida,Kissimmee,2331 Old Dixie Hwy,1,3,N/A
2309628,20-May-22,Mississippi,Meridian,MS-39 and N Hills St,0,2,N/A
2309721,20-May-22,New Mexico,Hobbs,3000 block of E Stanolind Rd,0,1,N/A
2306792,19-May-22,Pennsylvania,Philadelphia,2400 block of N 5th St,0,1,N/A
2306464,19-May-22,Washington,Federal Way,1200 block of South 336th St,0,1,N/A
2307136,19-May-22,Texas,Bryan,1500 block of Military Dr,0,1,N/A
2306392,18-May-22,Florida,Dade City,Johns Rd,1,2,N/A
2305969,18-May-22,North Dakota,Fargo,5505 28th Ave S,2,1,N/A
2305310,18-May-22,Arizona,Phoenix,2775 W Thomas Rd,0,2,N/A
2306688,18-May-22,Illinois,Champaign,400 block of E Church St,0,2,N/A
2305429,17-May-22,Pennsylvania,Lancaster,S Queen St and Andrews St,0,2,N/A
2304854,17-May-22,Illinois,Chicago,4140 N Marine Dr,0,1,N/A
2304617,17-May-22,North Carolina,Charlotte,1000 block of Deep Rock Circle,0,3,N/A
2304207,16-May-22,Louisiana,Shreveport,1915 Patzman St,0,1,N/A
2304675,16-May-22,Michigan,Muskegon,Allen Ave and Emerald St,0,1,N/A
2307346,16-May-22,Ohio,Canton,1500 block of Logan Ave NW,0,1,N/A
2303975,16-May-22,Alabama,Tuscaloosa,415 Hargrove Rd E,0,1,N/A
2303193,15-May-22,Pennsylvania,Pittsburgh,400 block of Johnston Ave,0,1,N/A
2303220,15-May-22,Kentucky,Louisville (Shively),2107 Appleton Ln,1,1,N/A
2304891,15-May-22,South Carolina,Darlington,Parrott St,0,1,N/A
2302770,15-May-22,Texas,Spring,5000 block of Roth Forest Ln,0,2,N/A
2301606,14-May-22,Illinois,Skokie,4700 block of Main St,1,1,N/A
2302491,14-May-22,Ohio,Columbus,Summit St and E 6th Ave,0,1,N/A
2301434,13-May-22,Pennsylvania,Drexel Hill,2200 block of Garrett Road,0,1,N/A
2301170,13-May-22,California,Los Angeles,W 56th St and Western Ave,0,2,N/A
2301348,13-May-22,Ohio,Columbus,378 Hawkes Ave,0,1,N/A
2301049,13-May-22,Missouri,Saint Louis,2500 block of Harriet Walk,0,1,N/A
2300290,12-May-22,Louisiana,Springfield,25000 block of Pardue Rd,0,1,N/A
2299660,11-May-22,Illinois,Chicago,6800 block of S Ashland Ave,0,4,N/A
2300158,11-May-22,Illinois,Chicago,1300 block of W 76th St,0,2,N/A
2299793,11-May-22,Missouri,Saint Louis,5000 block of N Kingshighway Blvd,1,3,N/A
2299352,10-May-22,New Mexico,Albuquerque,N/A,0,1,N/A
2298704,10-May-22,North Carolina,Rocky Mount,1000 Block of Proctor St,0,1,N/A
2297967,09-May-22,California,Vacaville,I-80 and Alamo Dr,0,1,N/A
2297221,08-May-22,Missouri,Saint Louis,St Louis Ave and N Kingshighway Blvd,0,1,N/A
2297655,08-May-22,Texas,Dallas,4000 block of S Polk St,0,1,N/A
2297892,07-May-22,Ohio,Cincinnati,11000 block of Elkwood Dr,0,1,N/A
2296526,07-May-22,North Carolina,Asheboro,High Pine Church Rd,0,1,N/A
2297844,07-May-22,Indiana,Gary,W 17th Ave and James St,1,1,N/A
2297226,07-May-22,Missouri,Saint Louis,3200 block of Nebraska Ave,0,1,N/A
2298744,07-May-22,Arizona,Glendale,AZ-101 Loop and W Northern Ave,0,1,N/A
2296680,07-May-22,Louisiana,Bossier City,2500 Montgomery Ln,0,1,N/A
2297140,07-May-22,Arkansas,Pine Bluff,6300 W 4th Ave,1,3,N/A
2295056,05-May-22,Illinois,Chicago,6800 block of S Morgan St,0,1,N/A
2296064,05-May-22,Washington,Sunnyside,613 S 6th St,0,5,N/A
2294179,04-May-22,New Jersey,Newark,92 Irvine Turner Blvd,0,3,N/A
2304010,04-May-22,Mississippi,Greenwood,107 Dionyse St,0,3,N/A
2294158,04-May-22,Kentucky,Louisville,15th St and St. Catherine St,0,1,N/A
2294892,04-May-22,Maryland,District Heights,6700 block of Alpine St,0,2,N/A
2294293,04-May-22,Missouri,Saint Louis,3500 block of N 11th St,0,1,N/A
2293632,03-May-22,West Virginia,Bluefield,800 block of Frederick St,0,2,N/A
2293961,03-May-22,Michigan,Taylor,Eureka Rd and Beech Daly Rd,0,1,N/A
2292944,01-May-22,Mississippi,Brookhaven,Old Brook Rd,0,1,N/A
2292729,01-May-22,Tennessee,Memphis,4230 Powers Rd,0,1,N/A
2301429,30-Apr-22,Mississippi,Kiln,5000 block of Ivanhoe Dr,0,1,N/A
2293107,29-Apr-22,South Dakota,Little Eagle,N/A,0,1,N/A
2289308,27-Apr-22,Louisiana,Opelousas,700 block of Mia St,2,3,N/A
2289683,27-Apr-22,Ohio,Middletown,800 block of 10th Ave,0,1,N/A
2288681,27-Apr-22,Michigan,Detroit,18400 block of Stout St,0,1,N/A
2289036,26-Apr-22,Georgia,Griffin,Quillly St,0,1,N/A
2290422,26-Apr-22,Illinois,Markham,16000 block of Ashland Ave,0,1,N/A
2289413,26-Apr-22,Ohio,Youngstown,3800 block of Mohawk Ave,1,2,N/A
2289471,26-Apr-22,Missouri,Saint Louis,4700 block of Plover Ave,0,1,N/A
2286490,24-Apr-22,Kentucky,Louisville,7200 block of Vaughn Mill Rd,0,1,N/A
2286788,24-Apr-22,Wisconsin,Milwaukee,1958 S 5th Pl,1,2,N/A
2285658,23-Apr-22,New York,Rochester,Moulson St and Nester St,0,1,N/A
2285701,23-Apr-22,Virginia,Stony Creek,N/A,0,1,N/A
2285129,22-Apr-22,Virginia,Chesapeake,3900 block of Schooner Trail,0,3,N/A
2283955,21-Apr-22,Michigan,Detroit,400 block of Alameda St,0,1,N/A
2284062,20-Apr-22,Missouri,Saint Louis,11900 block of Rio Grande Dr,0,1,N/A
2283760,20-Apr-22,Florida,Jacksonville,8220 Dix Ellis Trail,0,1,N/A
2282668,18-Apr-22,South Carolina,Charleston,Johnson St and America St,0,1,N/A
2281423,17-Apr-22,Louisiana,Baton Rouge,1700 block of N Sherwood Forest Dr,0,2,N/A
2281794,15-Apr-22,Georgia,Roswell,100 Block of Millbrook Cir,0,1,N/A
2280091,15-Apr-22,Pennsylvania,Philadelphia,1600 block of S 54th St,0,2,N/A
2280366,15-Apr-22,Kansas,Topeka,2400 block of SW Burnett Rd,0,1,N/A
2278467,14-Apr-22,Maryland,St Charles,3000 Gallery Place,0,1,N/A
2277027,12-Apr-22,California,Victorville,14400 Bear Valley Rd,0,1,N/A
2277558,12-Apr-22,Illinois,Chicago,3300 block of W Crystal St,0,2,N/A
2277286,12-Apr-22,Arizona,Avondale,S Avondale Blvd and W Lower Buckeye Rd,0,1,N/A
