Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2340309,25-Jun-22,North Carolina,Charlotte,7100 block of Wallace Rd,1,1,N/A
2339369,24-Jun-22,Illinois,Chicago,7700 block of S Shore Ave,1,1,N/A
2338879,23-Jun-22,Ohio,Dayton,337 Burleigh Ave,3,0,N/A
2337574,22-Jun-22,Tennessee,Germantown,2900 block of S Germantown Rd,1,0,N/A
2337547,22-Jun-22,Louisiana,New Orleans,8600 block of Apple St,1,0,N/A
2336374,19-Jun-22,Illinois,East Saint Louis,N 15th St and E Broadway,1,1,N/A
2333480,17-Jun-22,Arkansas,West Memphis,741 N 18th St,1,1,N/A
2338593,17-Jun-22,California,Crockett,1200 block of Pomona St,2,0,N/A
2330010,13-Jun-22,Texas,Houston,404 Oxford St,1,1,N/A
2329070,12-Jun-22,Ohio,Portsmouth,1800 block of Grant St,1,0,N/A
2329063,12-Jun-22,Texas,Houston,13821 McNair St,1,0,N/A
2328917,12-Jun-22,Mississippi,Jackson,1425 Bailey Ave,1,0,N/A
2328359,11-Jun-22,Georgia,Covington,95 Chandler Field Dr,3,1,N/A
2325298,08-Jun-22,Texas,Beaumont,400 block of E Lucas Dr,1,0,N/A
2325947,08-Jun-22,Ohio,Dayton,700 block of Goodlow Ave,1,0,N/A
2322582,06-Jun-22,Ohio,Cleveland,1100 block of E 77th St,1,0,N/A
2322231,05-Jun-22,California,Baldwin Park,Merced Ave and Palm Ave,2,0,N/A
2321188,04-Jun-22,Michigan,Detroit,20290 block of Goulburn Ave,1,0,N/A
2319567,02-Jun-22,Texas,Centerville,1696 TX-7 W,6,0,N/A
2317117,31-May-22,Michigan,Wyoming,2118 Godfrey Avenue SW,4,0,N/A
2316814,30-May-22,Alabama,Mobile,1300 block of Duval St,1,0,N/A
2315875,29-May-22,Pennsylvania,Philadelphia,2100 block of Carver St,2,0,N/A
2315922,29-May-22,North Carolina,Monroe,Morrow Ave and S Church St,2,0,N/A
2315494,29-May-22,Pennsylvania,Pittsburgh,100 block of 4th Ave,1,0,N/A
2314485,28-May-22,South Carolina,Florence,3106 N Old River Rd,1,1,N/A
2314616,28-May-22,Arkansas,Little Rock,I-630 and Fair Park Blvd,1,0,N/A
2313970,27-May-22,Michigan,Stanwood,10711 185th Ave,4,1,N/A
2310278,24-May-22,Texas,Uvalde,715 Old Carrizo Rd,22,17,N/A
2314313,23-May-22,Georgia,Moultrie,600 Block of Third St SW,1,0,N/A
2308129,21-May-22,Maine,Wells,97 Crediford Rd,1,2,N/A
2307608,20-May-22,North Carolina,Roanoke Rapids,100 block of Delta Dr,1,0,N/A
2309465,20-May-22,Minnesota,Mound,Shoreline Dr and Bartlett Blvd,1,0,N/A
2306421,19-May-22,Texas,Houston,9721 Cypresswood Dr,4,0,N/A
2303670,16-May-22,New York,Bronx,995 Westchester Ave,1,0,N/A
2304173,16-May-22,Iowa,Ankeny,NE 5th St and NE Delaware Ave,1,0,N/A
2301606,14-May-22,Illinois,Skokie,4700 block of Main St,1,1,N/A
2301747,13-May-22,South Carolina,North,174 McClain St,1,0,N/A
2312959,13-May-22,South Carolina,Woodford,McClain St,1,0,N/A
2300193,11-May-22,Texas,Waco,3501 Alta Vista Dr,1,0,N/A
2300099,10-May-22,Oregon,Gresham,700 block of SE 185th Ave,3,0,N/A
2297157,08-May-22,California,Canoga Park,22547 Victory Blvd,3,0,N/A
2298458,08-May-22,California,Baker,Zzyzx Rd,2,0,N/A
2299980,08-May-22,Colorado,Frederick,6823 2nd St,1,0,N/A
2296002,05-May-22,Alabama,Dutton,AL-40,1,0,N/A
2295738,05-May-22,Texas,Dallas,2500 block of Fatima Ave,1,0,N/A
2297429,05-May-22,South Dakota,Pine Ridge (Pine Ridge Reservation),29604 US-18,1,0,N/A
2292748,02-May-22,Texas,Katy,22300 block of Guston Hall Ln,1,0,N/A
2292743,02-May-22,Pennsylvania,Newtown (Upper Makefield),100 block of Timber Ridge Rd,2,0,N/A
2291798,30-Apr-22,Indiana,South Bend,1000 block of Woodbine Way,1,0,N/A
2289308,27-Apr-22,Louisiana,Opelousas,700 block of Mia St,2,3,N/A
2289696,27-Apr-22,Ohio,Toledo,Jackman Rd and Hillcrest Ave,1,1,N/A
2288525,26-Apr-22,Colorado,Denver,5959 N Dunkirk St,3,0,N/A
2288433,26-Apr-22,Louisiana,New Orleans,400 block of Burgundy St,1,0,N/A
2286385,24-Apr-22,South Carolina,Scranton,396 S Glendale School Rd,1,0,N/A
2285738,23-Apr-22,Louisiana,Lafayette,1300 block of NE Evangeline Thwy,1,0,N/A
2283535,20-Apr-22,Minnesota,Duluth,715 E 12th St,5,0,N/A
2283481,18-Apr-22,North Carolina,Mocksville,1943 Junction Rd,4,0,N/A
2282234,18-Apr-22,Minnesota,Lynd,N/A,1,0,N/A
2281849,17-Apr-22,Colorado,Denver,1700 block of S Pecos St,1,0,N/A
2280526,15-Apr-22,Minnesota,Minneapolis,341 Hennepin Ave,1,0,N/A
2280916,15-Apr-22,Ohio,Cleveland (South Euclid),Wrenford Rd and Bexley Blvd,1,0,N/A
2279355,14-Apr-22,Pennsylvania,Erie,2100 block of Downing Ave,1,0,N/A
2278104,13-Apr-22,Nevada,Henderson,103 Sicily Hills Ct,1,0,N/A
2278012,12-Apr-22,Louisiana,Baton Rouge,5100 block of Fairfields Ave,1,0,N/A
2275895,10-Apr-22,Arkansas,Marion,Sherwood Cove and Hickory St,1,0,N/A
2276006,10-Apr-22,Colorado,Fort Collins,1200 block of E Lincoln Ave,1,0,N/A
2273835,08-Apr-22,Georgia,Stone Mountain,3800 block of Wood Path Dr,1,0,N/A
2274050,08-Apr-22,Ohio,Vinton,26000 block of Price Strong Rd,1,0,N/A
2273197,07-Apr-22,Florida,West Palm Beach,916 4th St,1,1,N/A
2271185,05-Apr-22,Pennsylvania,Chester,916 Kerlin St,1,0,N/A
2270357,03-Apr-22,Florida,Saint Petersburg,11401 Dr MLK Jr St N,2,0,N/A
2270300,03-Apr-22,Florida,Jacksonville,Crimson Leaf Ln,1,0,N/A
2268578,01-Apr-22,Louisiana,Shreveport,2800 block of Morningside Dr,1,1,N/A
2265633,28-Mar-22,Georgia,Atlanta,1496 Bouldercrest Rd,1,0,N/A
2264686,28-Mar-22,Texas,Dallas,9500 block of Timberleaf Dr,1,0,N/A
2264650,27-Mar-22,North Carolina,Sylva,110 Ferguson Road,2,0,N/A
2265089,27-Mar-22,Tennessee,Memphis,1265 Wesley Dr,1,0,N/A
2264300,26-Mar-22,Kansas,Baxter Springs,340 Wyandotte Ave,3,0,N/A
2263826,25-Mar-22,Georgia,Warner Robins,200 block of Virginia Dare Dr,1,0,N/A
