Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2339761,25-Jun-22,Texas,Houston,4207 Madden St,2,2,N/A
2340347,25-Jun-22,Minnesota,Minneapolis,SE Main St and 6th Ave SE,0,4,N/A
2340297,25-Jun-22,New York,Brooklyn,690 Quincy St,0,4,N/A
2339866,24-Jun-22,Virginia,Hopewell,Elm St and Arlington Rd,2,2,N/A
2338874,24-Jun-22,Pennsylvania,Philadelphia,S Bucknell St and Oakford St,2,2,N/A
2338902,23-Jun-22,Illinois,Chicago,7900 block of S Lafayette Ave,1,3,N/A
2335052,20-Jun-22,New York,New York (Manhattan),5th Ave and W 139th St,1,8,N/A
2335872,20-Jun-22,New York,Staten Island,Taft Ave and Westervelt Ave,0,5,N/A
2334620,19-Jun-22,South Carolina,Walterboro,1109 Rivers St,2,2,N/A
2334936,19-Jun-22,Michigan,Detroit,18501 Healy St,1,3,N/A
2334512,19-Jun-22,Florida,Miami,US-1 and SW 22nd Ave,0,5,N/A
2334920,19-Jun-22,District of Columbia,Washington,14th St and U St NW,1,3,N/A
2334374,19-Jun-22,Michigan,Grand Rapids,Griggs St SE and Division St,0,4,N/A
2334359,18-Jun-22,Texas,San Antonio,2500 block of Patron Dr,2,5,N/A
2333675,18-Jun-22,Florida,Pensacola,15 E Intendencia St,0,5,N/A
2334096,17-Jun-22,Maryland,Baltimore,1800 block of W Lafayette Ave,0,4,N/A
2333667,17-Jun-22,Illinois,Chicago,3000 block of S Rhodes Ave,0,5,N/A
2333154,16-Jun-22,California,Oakland,316 14th St,1,4,N/A
2332950,15-Jun-22,South Carolina,Denmark,Plum Alley,0,4,N/A
2328374,12-Jun-22,California,Los Angeles,3300 block of E 14th St,3,4,N/A
2328532,12-Jun-22,Michigan,Roseville,27000 block of Kelly St,0,4,N/A
2328265,12-Jun-22,Indiana,Gary,1700 Grant St,2,4,N/A
2328215,12-Jun-22,Indiana,Indianapolis,9200 block of Sussex Ter,0,5,N/A
2328117,12-Jun-22,Louisiana,New Orleans,3940 Tulane Ave,0,4,N/A
2328342,12-Jun-22,Colorado,Denver,4600 block of Colorado Ave,2,4,N/A
2327598,11-Jun-22,Michigan,Detroit,13500 block of Cloverlawn Ave,0,4,N/A
2327645,11-Jun-22,Illinois,Chicago,8600 block of S Damen Ave,1,4,N/A
2327991,11-Jun-22,Kentucky,Louisville,1101 River Rd,0,6,N/A
2328482,11-Jun-22,Georgia,Atlanta (College Park),6500 block of Woodford Rd,0,7,N/A
2328108,11-Jun-22,Tennessee,Antioch,660 Bell Rd,2,2,N/A
2327247,10-Jun-22,Georgia,Decatur,2801 Candler Rd,1,3,N/A
2325498,09-Jun-22,Maryland,Smithsburg,12912 Bikle Rd,3,3,N/A
2325328,08-Jun-22,Arizona,Yuma,1500 block of S 4th Ave,0,4,N/A
2323642,07-Jun-22,Virginia,Portsmouth,1628 Maple Ave,4,0,N/A
2324475,07-Jun-22,Illinois,Chicago,1223 S Lawndale Ave,0,4,N/A
2324435,07-Jun-22,Maryland,Baltimore,5500 block of Plainfield Ave,2,2,N/A
2324496,07-Jun-22,Illinois,Chicago,13000 block of S Champlain Ave,0,4,N/A
