Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2341790,27-Jun-22,Louisiana,Baton Rouge,2000 block of Sherwood St,0,1,N/A
2341463,27-Jun-22,Michigan,Kalamazoo,1100 block of Cadillac St,0,1,N/A
2341491,27-Jun-22,California,Los Angeles,N/A,0,1,N/A
2341430,27-Jun-22,Indiana,Indianapolis,Manor Court,0,1,N/A
2342211,26-Jun-22,South Carolina,Ruffin,700 block of Red Root Rd,0,1,N/A
2340808,26-Jun-22,District of Columbia,Washington,100 Block of 56th Pl SE,0,1,N/A
2341773,26-Jun-22,Texas,Pasadena,3823 Red Bluff Rd,2,1,N/A
2340769,26-Jun-22,District of Columbia,Washington,800 block of Quincy St NW,1,2,N/A
2340696,26-Jun-22,Texas,Winona,18005 FM 2767,0,5,N/A
2341938,26-Jun-22,Pennsylvania,Philadelphia,1900 block of Brill St,0,1,N/A
2341875,26-Jun-22,Michigan,Pontiac,585 Auburn Ave,0,1,N/A
2340685,26-Jun-22,New Jersey,Paterson,Madison St and Essex St,0,5,N/A
2341441,26-Jun-22,Washington,Seattle,10th Ave S and S Jackson St,0,2,N/A
2340409,26-Jun-22,Washington,Tacoma,4500 block of S Tacoma Way,0,8,N/A
2341195,26-Jun-22,Virginia,Portsmouth,N/A,0,1,N/A
2340235,25-Jun-22,Illinois,Chicago,1500 block of E 75th St,0,1,N/A
2340125,25-Jun-22,Nevada,North Las Vegas,1600 block of Stocker St,0,2,N/A
2339761,25-Jun-22,Texas,Houston,4207 Madden St,2,2,N/A
2340718,25-Jun-22,Maryland,Baltimore,Marquette Rd and St Regis Rd,0,1,N/A
2340347,25-Jun-22,Minnesota,Minneapolis,SE Main St and 6th Ave SE,0,4,N/A
2340527,25-Jun-22,Pennsylvania,York,W Maple St and Lafayette St,1,1,N/A
2341234,25-Jun-22,California,Oakland,700 block of 32nd St,0,1,N/A
2341101,25-Jun-22,Maryland,Reistertown,Westminster Pike and Main St,0,2,N/A
2340343,25-Jun-22,North Carolina,Wilmington,400 block of N 30th St,0,1,N/A
2339866,24-Jun-22,Virginia,Hopewell,Elm St and Arlington Rd,2,2,N/A
2339373,24-Jun-22,Illinois,Chicago,E 81st St and S King Dr,0,3,N/A
2339977,24-Jun-22,Georgia,Lagrange,1009 Hogansville Rd,1,2,N/A
2338897,24-Jun-22,Pennsylvania,Philadelphia,1725 Bridge St,0,1,N/A
2338934,24-Jun-22,Illinois,Chicago,8000 block of S Stewart Ave,0,1,N/A
2339384,24-Jun-22,Delaware,Wilmington,Tatnall St and W 24th St,0,3,N/A
2339526,24-Jun-22,Michigan,Detroit,McKinney St and Haverhill St,0,2,N/A
2338617,23-Jun-22,Alabama,Hartselle,Frost St and Crestline St,0,1,N/A
2339970,23-Jun-22,Pennsylvania,Philadelphia,1700 block of Bridge St,0,1,N/A
2338659,23-Jun-22,New York,Syracuse,1300 S State St,0,1,N/A
2338392,23-Jun-22,Missouri,Saint Louis (University City),7380 Olive Blvd,0,1,N/A
2339843,23-Jun-22,California,Napa,Riverside Dr and Oak St,0,1,N/A
2338027,23-Jun-22,Indiana,Indianapolis,Belhaven Place,0,2,N/A
2338988,23-Jun-22,Illinois,Chicago,1800 block of W 46th St,0,1,N/A
2338986,23-Jun-22,Illinois,Chicago,1900 block of S Drake Ave,0,1,N/A
2339424,23-Jun-22,Wisconsin,Milwaukee,W Hampton Ave and N 80th St,0,1,N/A
2337839,22-Jun-22,Pennsylvania,Erie,W 4th St  and Cherry St,0,1,N/A
2338259,22-Jun-22,Pennsylvania,Philadelphia,2100 block of N 5th St,0,1,N/A
2337207,22-Jun-22,Illinois,Chicago,8000 block of S Harvard Ave,0,1,N/A
2337005,22-Jun-22,Ohio,Columbus,1200 block of Crestwood Ave,0,1,N/A
2337424,21-Jun-22,Connecticut,New Haven,Foote St,0,1,N/A
2337279,21-Jun-22,Illinois,Rockford,1400 block of 5th Ave,0,3,N/A
2337270,21-Jun-22,Illinois,Rockford,1200 block of Willow Grove St,0,1,N/A
2337083,21-Jun-22,Wisconsin,Milwaukee,N Sherman Blvd and W North Ave,0,1,N/A
2336217,21-Jun-22,Maryland,Baltimore,N/A,0,1,N/A
2336916,21-Jun-22,Maryland,Riverdale,6011 66th Ave,0,1,N/A
2337885,21-Jun-22,Washington,Kirkland,11700 block of NE 150th Pl,0,3,N/A
2337851,21-Jun-22,Missouri,Saint Louis,St Louis Ave and Bishop P L Scott Ave,0,1,N/A
2336036,20-Jun-22,New York,Elmira,200 block of Franklin St,0,1,N/A
2335131,20-Jun-22,Illinois,Chicago,8500 block of S Peoria St,0,3,N/A
2336153,20-Jun-22,Illinois,Rockford,600 block of Ranger St,0,1,N/A
2335139,20-Jun-22,Illinois,Chicago,2100 block of S Lawndale Ave,1,1,N/A
2336102,20-Jun-22,Delaware,Wilmington,300 block of S Jackson St,0,3,N/A
2336088,20-Jun-22,Texas,Houston,8800 block of Brae Acres Rd,0,1,N/A
2334639,19-Jun-22,Ohio,Ashville,10600 block of Ashville Pike,0,1,N/A
2335111,19-Jun-22,Indiana,Indianapolis,1 Monument Cir,0,2,N/A
2334512,19-Jun-22,Florida,Miami,US-1 and SW 22nd Ave,0,5,N/A
2334367,19-Jun-22,Ohio,Columbus,920 N High St,0,3,N/A
2335118,19-Jun-22,Oregon,Portland,NW Second Ave and NW Davis St,0,1,N/A
2334220,18-Jun-22,Alabama,Birmingham,900 block of 3rd St N,0,2,N/A
2335886,18-Jun-22,Texas,Round Rock,1700 block of Onion Creek Village Dr,0,1,N/A
2334587,18-Jun-22,Georgia,Lakeland,US-221 N,1,2,N/A
2333687,18-Jun-22,Texas,Houston,6700 block of Ave P,0,2,N/A
2334285,18-Jun-22,Kentucky,Owensboro,Poplar St and W Fifth St,0,1,N/A
2334791,18-Jun-22,Wisconsin,Milwaukee,5713 N 97th St,0,1,N/A
2333605,17-Jun-22,Wisconsin,Milwaukee,W Burleigh St and N 24th St,0,2,N/A
2333350,17-Jun-22,Pennsylvania,Philadelphia,56th St and Pentridge St,0,1,N/A
2333917,17-Jun-22,Texas,Fort Worth,3254 Las Vegas Trl,0,1,N/A
2333912,17-Jun-22,Missouri,Jefferson City,600 block of Ohio St,0,1,N/A
2333635,17-Jun-22,Texas,Fort Worth,2200 block of E Loop 820,0,1,N/A
2333450,17-Jun-22,Iowa,Waterloo,500 block of Pleasant St,0,1,N/A
2333738,17-Jun-22,Illinois,Chicago,8800 block of S Mackinaw Ave,0,1,N/A
2334083,17-Jun-22,Massachusetts,Pittsfield,400 block of Tyler St,0,1,N/A
2333511,16-Jun-22,New York,Rochester,1500 block of Dewey Ave,0,1,N/A
2332633,16-Jun-22,Illinois,Chicago,9200 block of S Halstead St,0,3,N/A
2332904,16-Jun-22,Louisiana,Crowley,200 Kathy Meadows Ln,1,2,N/A
2331779,15-Jun-22,Tennessee,Memphis,Castalia St and Dianne Cove,0,1,N/A
2333485,15-Jun-22,Wisconsin,Madison,Freeport Rd and Reetz Rd,0,1,N/A
2331660,15-Jun-22,Florida,Tampa,N 11th St and E Seward St,0,1,N/A
2332452,15-Jun-22,Kansas,Kansas City,3500 block of Shawnee Dr,0,3,N/A
2331635,15-Jun-22,Michigan,Lansing,W Willow St and N Martin Luther King Jr Blvd,0,1,N/A
2331139,15-Jun-22,Ohio,Cincinnati (Cheviot),3746 Dina Ave,1,1,N/A
2331881,15-Jun-22,Ohio,Columbus,1888 Fairmont Ave,1,2,N/A
2332992,15-Jun-22,Florida,Lutz,23673 FL-54,0,1,N/A
2332095,15-Jun-22,Illinois,Chicago,9700 block of S Greenwood Ave,0,1,N/A
2332975,15-Jun-22,Florida,Lakeland,Old Rd 37,0,1,N/A
2331962,15-Jun-22,Mississippi,Biloxi,1600 block of Irish Hill Dr,0,1,N/A
2333711,15-Jun-22,Mississippi,Tupelo,Lumpkin Ave,0,1,N/A
2331807,14-Jun-22,Pennsylvania,Dauphin,100 block of Elizabeth Ave,0,1,N/A
2330659,14-Jun-22,Maryland,Capitol Heights,Walker Mill Rd and Addison Rd S,0,1,N/A
2330063,14-Jun-22,Texas,Houston,1221 Redford St,0,3,N/A
2330583,14-Jun-22,Oklahoma,Tulsa,1111 E 60th St,0,1,N/A
2331018,14-Jun-22,Georgia,Metter,N Leroy St,1,1,N/A
2331109,14-Jun-22,Texas,Austin,3400 block of Palm Way,0,1,N/A
2331152,14-Jun-22,Ohio,Cleveland,Dublin Ave and E 176th St,0,1,N/A
2333178,14-Jun-22,Texas,Ennis,300 block of W Waco St,0,1,N/A
2331102,14-Jun-22,Michigan,Grand Rapids,1100 block of Prince St SE,0,2,N/A
2331520,14-Jun-22,Oklahoma,Tulsa,2171 N Hartford Ave,0,2,N/A
2330930,13-Jun-22,Kentucky,Owensboro,800 block of Poindexter St,0,1,N/A
2330510,13-Jun-22,Tennessee,Chattanooga,500 block of Shawnee Trail,0,1,N/A
2329823,13-Jun-22,Illinois,Chicago,9100 block of S Drexel Ave,0,1,N/A
2329801,13-Jun-22,New York,Bronx,Astor Ave and Holland Ave,0,1,N/A
2330271,13-Jun-22,Illinois,Chicago,7300 block of S Kenwood Ave,0,1,N/A
2330041,13-Jun-22,Pennsylvania,Philadelphia,811 Adams St,0,1,N/A
2330596,13-Jun-22,California,Berkeley,600 block of Channing Way,0,1,N/A
2329682,13-Jun-22,Illinois,Chicago,5600 block of S Central Park Ave,0,1,N/A
2329143,13-Jun-22,Wisconsin,Milwaukee,2400 block of N 38th St,0,1,N/A
2333384,13-Jun-22,Texas,Sherman,221 Archer Cir,1,1,N/A
2331460,13-Jun-22,Nevada,Las Vegas,Durango Dr and Vegas Dr,0,1,N/A
2329558,13-Jun-22,Texas,San Antonio,4141 I-10 Frontage Rd,0,1,N/A
2329019,13-Jun-22,Missouri,Saint Louis,3500 block of S Spring Ave,0,2,N/A
2330092,13-Jun-22,Delaware,New Castle,1200 West Ave,0,1,N/A
2330039,13-Jun-22,Ohio,Columbus,W Broad St and N Warren Ave,0,1,N/A
2329852,13-Jun-22,Alabama,Birmingham,1237 Beacon Pkwy E,1,2,N/A
2328858,12-Jun-22,Illinois,Chicago,800 block of N Drake Ave,0,1,N/A
2328761,12-Jun-22,Wisconsin,Milwaukee,2300 block of W Roosevelt Dr,0,1,N/A
2328904,12-Jun-22,Pennsylvania,Pittsburgh,Rose St and Elmore St,0,1,N/A
2328971,12-Jun-22,Pennsylvania,Philadelphia,300 block of E Westmoreland St,0,2,N/A
2328519,12-Jun-22,Texas,San Antonio,5627 Culebra Rd,0,1,N/A
2328922,12-Jun-22,Georgia,Decatur,4919 Flat Shoals Pkwy,1,1,N/A
2330233,12-Jun-22,Georgia,Bainbridge,100 block of Penelope Dr,0,2,N/A
2329346,12-Jun-22,District of Columbia,Washington,600 block of 21st St NE,0,1,N/A
2328532,12-Jun-22,Michigan,Roseville,27000 block of Kelly St,0,4,N/A
2329083,12-Jun-22,Ohio,Cleveland,5900 block of White St,0,1,N/A
