Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2340247,25-Jun-22,New York,Brooklyn,Sutter Ave and Osborn St,1,0,N/A
2339761,25-Jun-22,Texas,Houston,4207 Madden St,2,2,N/A
2340218,25-Jun-22,District of Columbia,Washington,R St NW and 8th St NW,1,1,N/A
2339302,24-Jun-22,Texas,Houston,9031 Melody Park Ln,1,0,N/A
2339866,24-Jun-22,Virginia,Hopewell,Elm St and Arlington Rd,2,2,N/A
2339317,24-Jun-22,South Carolina,Seabrook,Vidalia Rd,1,0,N/A
2340044,24-Jun-22,Texas,Fort Worth,3261 Northeast Loop 820,1,0,N/A
2339977,24-Jun-22,Georgia,Lagrange,1009 Hogansville Rd,1,2,N/A
2340328,24-Jun-22,North Carolina,Durham,300 block of S Woodcrest St,1,0,N/A
2337929,23-Jun-22,Illinois,Chicago,2700 block of S Kedvale Ave,1,0,N/A
2339561,23-Jun-22,California,Riverside (Jurupa Valley),Bellegrave Ave and Avon St,1,0,N/A
2338016,22-Jun-22,Texas,Amarillo,S Jefferson St and SW 7th Ave,1,0,N/A
2337453,22-Jun-22,South Carolina,North Charleston,McKnight Dr and Lowell Dr,1,1,N/A
2338601,22-Jun-22,Alabama,Montgomery,2800 block of Cherry Ave,1,1,N/A
2337347,21-Jun-22,Arizona,Catalina,3500 block of E Silver Buckle Pl,1,0,N/A
2336637,21-Jun-22,North Carolina,Charlotte,300 block of Branchview Dr,1,1,N/A
2337265,21-Jun-22,Georgia,Atlanta (College Park),1110 Garden Walk Blvd,1,0,N/A
2336999,21-Jun-22,Ohio,Cleveland (Parma),5700 block of S Park Blvd,1,0,N/A
2338837,21-Jun-22,Louisiana,Lafayette,S Sterling St,1,0,N/A
2336339,20-Jun-22,Georgia,Macon,2300 Block of Mason St,1,2,N/A
2336364,20-Jun-22,Nevada,Las Vegas,7500 block of Glowing Ember Ct,2,1,N/A
2334602,19-Jun-22,Georgia,Atlanta,174 Moury Ave SE,2,0,N/A
2334920,19-Jun-22,District of Columbia,Washington,14th St and U St NW,1,3,N/A
2335187,19-Jun-22,District of Columbia,Washington,4400 block of 3rd St SE,1,0,N/A
2334197,18-Jun-22,Pennsylvania,Moscow (Spring Brook Township),Bowens Rd,1,0,N/A
2334232,18-Jun-22,Pennsylvania,Harrisburg,100 block of N 16th St,1,0,N/A
2334287,18-Jun-22,Oklahoma,Altus,900 block of Newlin Dr,2,0,N/A
2334183,18-Jun-22,California,Los Angeles,3523 S La Cienega,1,1,N/A
2333579,17-Jun-22,Illinois,Chicago,5600 block of S Wolcott Ave,1,0,N/A
2333843,17-Jun-22,Pennsylvania,Philadelphia,2560 S 61st St,1,0,N/A
2332667,16-Jun-22,Louisiana,Eunice,W Maple Ave and Boudreaux Ave,2,0,N/A
2332904,16-Jun-22,Louisiana,Crowley,200 Kathy Meadows Ln,1,2,N/A
2332060,15-Jun-22,Connecticut,East Hartford,87 Graham St,2,0,N/A
2332135,15-Jun-22,District of Columbia,Washington,4600 block of Hillside Rd SE,1,1,N/A
2332182,15-Jun-22,Pennsylvania,Philadelphia,S 15th St and Pine St,1,0,N/A
2332525,15-Jun-22,Texas,Dallas,3000 block of Kiestridge Dr,1,0,N/A
2331988,15-Jun-22,North Carolina,Greenville,1900 block of Kennedy Cir,1,0,N/A
2331018,14-Jun-22,Georgia,Metter,N Leroy St,1,1,N/A
2331265,14-Jun-22,Ohio,Toledo,4000 block of Burnham Ave,1,0,N/A
2330024,14-Jun-22,Florida,Casselberry,2333 Coawood Ct,4,0,N/A
2331099,14-Jun-22,Michigan,Muskegon,400 block of Catawba Ave,1,0,N/A
2330742,13-Jun-22,California,Palo Alto (East Palo Alto),1900 block of Manhattan Ave,1,0,N/A
2330449,13-Jun-22,Kansas,Wichita,1900 block of S Shiloh St,1,0,N/A
2333384,13-Jun-22,Texas,Sherman,221 Archer Cir,1,1,N/A
2330189,13-Jun-22,Wisconsin,Milwaukee,8120 W Villard Ave,1,0,N/A
2329832,13-Jun-22,District of Columbia,Washington,3400 block of Wheeler Rd SE,1,1,N/A
2329954,13-Jun-22,Arkansas,Pine Bluff,1800 block of S Poplar St,1,0,N/A
2328922,12-Jun-22,Georgia,Decatur,4919 Flat Shoals Pkwy,1,1,N/A
2328767,12-Jun-22,New York,Rochester,Robert Warfield Ct and Upper Falls Blvd,1,0,N/A
2328912,12-Jun-22,Texas,Austin,12600 block of Oro Valley Trail,1,3,N/A
2327747,11-Jun-22,California,Lemon Grove,Palm St and Mulder St,1,0,N/A
2328249,11-Jun-22,Florida,Pembroke Pines,SW 182nd Way,1,0,N/A
2328244,11-Jun-22,Missouri,Saint Louis,300 block of Shepley Dr,2,0,N/A
2326754,10-Jun-22,Virginia,Henrico,1300 block of Old Bronze Dr,1,0,N/A
2326957,10-Jun-22,Pennsylvania,Philadelphia,800 block of Bridge St,1,1,N/A
2326516,10-Jun-22,Ohio,Lima,764 W Lane Ave,1,0,N/A
