,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Children Involved,Teens Involved,Accident,Mass Shooting,Year,Quarter,Month,Week,Weekday
1967792,1967792,01-Apr-21,Louisiana,Baton Rouge,300 block of N Foster Dr,1.0,1.0,True,False,False,False,2021,2,4,13,3
1967420,1967420,01-Apr-21,West Virginia,Moorefield,506 Winchester Ave,3.0,0.0,True,False,False,False,2021,2,4,13,3
1966743,1966743,01-Apr-21,Ohio,Columbus,2500 block of Wallcrest Blvd,0.0,1.0,True,False,False,False,2021,2,4,13,3
1967044,1967044,01-Apr-21,Texas,Fort Worth,3200 block of Knox St,0.0,1.0,False,True,True,False,2021,2,4,13,3
1966396,1966396,01-Apr-21,Arizona,Phoenix,67th Ave and McDowell Rd,0.0,1.0,False,True,True,False,2021,2,4,13,3
1966893,1966893,01-Apr-21,Pennsylvania,Harrisburg,2200 block of Berryhill St,1.0,0.0,False,True,False,False,2021,2,4,13,3
1967785,1967785,01-Apr-21,Arkansas,Little Rock,21st St and Bragg St,0.0,1.0,False,True,False,False,2021,2,4,13,3
1967348,1967348,01-Apr-21,Wisconsin,Milwaukee,1900 block of N 21st St,0.0,1.0,True,False,False,False,2021,2,4,13,3
1967453,1967453,01-Apr-21,Minnesota,Saint Paul (Maplewood),County Rd D,0.0,1.0,False,True,False,False,2021,2,4,13,3
1966730,1966730,01-Apr-21,District of Columbia,Washington,2600 block of Martin Luther King Jr Ave SE,1.0,1.0,False,True,False,False,2021,2,4,13,3
1967663,1967663,01-Apr-21,California,Sacramento,2000 block of Del Paso Blvd,1.0,2.0,False,True,False,False,2021,2,4,13,3
1967078,1967078,01-Apr-21,Massachusetts,Stoughton,Sumner St,0.0,1.0,False,True,False,False,2021,2,4,13,3
1966373,1966373,01-Apr-21,Ohio,Columbus,1632 Red Leaf Ln,0.0,1.0,True,False,True,False,2021,2,4,13,3
2268243,2268243,01-Apr-22,Tennessee,Memphis,3005 E Point Cove,1.0,0.0,False,True,False,False,2022,2,4,13,4
2268852,2268852,01-Apr-22,Missouri,Lees Summit,I-470 and NE Lakewood Blvd,1.0,0.0,False,True,False,False,2022,2,4,13,4
2269070,2269070,01-Apr-22,Iowa,Des Moines,Washington Ave and 14th St,0.0,1.0,False,True,False,False,2022,2,4,13,4
